,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
64,64,0.001349327969364822,2023-11-07 17:29:14.468113,2023-11-07 17:29:15.203772,0 days 00:00:00.735659,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.0029052958931519188,4,28,60.0,19.0,6.0,,COMPLETE
65,65,0.0011523219291120768,2023-11-07 17:29:15.204897,2023-11-07 17:29:15.976811,0 days 00:00:00.771914,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.010925839510363213,4,12,50.0,28.0,34.0,,COMPLETE
66,66,0.012010798789560795,2023-11-07 17:29:15.977637,2023-11-07 17:29:16.611156,0 days 00:00:00.633519,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,,0.007280820402103779,3,17,64.0,25.0,,,COMPLETE
67,67,0.0015220431378111243,2023-11-07 17:29:16.611971,2023-11-07 17:29:17.394250,0 days 00:00:00.782279,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,0.0023485447449399007,5,31,5.0,15.0,20.0,32.0,COMPLETE
68,68,0.0011510136537253857,2023-11-07 17:29:17.395071,2023-11-07 17:29:18.249896,0 days 00:00:00.854825,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.003990190162327839,4,36,62.0,23.0,23.0,,COMPLETE
69,69,0.0011785058304667473,2023-11-07 17:29:18.250730,2023-11-07 17:29:19.251567,0 days 00:00:01.000837,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.018221698478333458,5,25,46.0,39.0,39.0,10.0,COMPLETE
70,70,0.01079174131155014,2023-11-07 17:29:19.252338,2023-11-07 17:29:19.935561,0 days 00:00:00.683223,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.005987697109222238,4,22,11.0,20.0,9.0,,COMPLETE
71,71,0.0011343719670549035,2023-11-07 17:29:19.936290,2023-11-07 17:29:20.898411,0 days 00:00:00.962121,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.007842420366317446,4,48,71.0,33.0,13.0,,COMPLETE
72,72,0.00105492421425879,2023-11-07 17:29:20.899127,2023-11-07 17:29:21.837441,0 days 00:00:00.938314,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.009783215831726295,4,47,56.0,30.0,49.0,,COMPLETE
73,73,0.0011514656944200397,2023-11-07 17:29:21.838207,2023-11-07 17:29:22.766377,0 days 00:00:00.928170,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.013585154236770897,4,47,53.0,32.0,52.0,,COMPLETE
74,74,0.001175008132122457,2023-11-07 17:29:22.767166,2023-11-07 17:29:23.818749,0 days 00:00:01.051583,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.009450186385944649,4,42,68.0,35.0,69.0,,COMPLETE
75,75,0.011867092922329903,2023-11-07 17:29:23.819890,2023-11-07 17:29:24.462382,0 days 00:00:00.642492,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,,,,0.004308150676431194,2,61,58.0,,,,COMPLETE
76,76,0.001127074472606182,2023-11-07 17:29:24.463355,2023-11-07 17:29:25.313660,0 days 00:00:00.850305,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.022327982770749953,4,39,25.0,43.0,47.0,,COMPLETE
77,77,0.004251512233167887,2023-11-07 17:29:25.314460,2023-11-07 17:29:26.621763,0 days 00:00:01.307303,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,0.0249294228095021,5,34,25.0,43.0,47.0,78.0,COMPLETE
78,78,0.012269132770597935,2023-11-07 17:29:26.622562,2023-11-07 17:29:27.225865,0 days 00:00:00.603303,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.028363581535505555,3,38,30.0,13.0,,,COMPLETE
79,79,0.0013326624175533652,2023-11-07 17:29:27.226765,2023-11-07 17:29:30.691557,0 days 00:00:03.464792,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.03774302812739568,5,42,19.0,56.0,65.0,99.0,COMPLETE
80,80,0.0010887767421081662,2023-11-07 17:29:30.692456,2023-11-07 17:29:31.672911,0 days 00:00:00.980455,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.05731757483693221,4,15,39.0,64.0,57.0,,COMPLETE
81,81,0.01087213959544897,2023-11-07 17:29:31.673898,2023-11-07 17:29:32.662704,0 days 00:00:00.988806,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.07757610452730286,4,14,36.0,65.0,61.0,,COMPLETE
82,82,0.01047718245536089,2023-11-07 17:29:32.663552,2023-11-07 17:29:33.757225,0 days 00:00:01.093673,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.047340890155317075,4,8,39.0,79.0,57.0,,COMPLETE
83,83,0.0014369450509548187,2023-11-07 17:29:33.758212,2023-11-07 17:29:34.686180,0 days 00:00:00.927968,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.020592143172369605,4,18,47.0,49.0,43.0,,COMPLETE
84,84,0.0020041787065565586,2023-11-07 17:29:34.687001,2023-11-07 17:29:35.776424,0 days 00:00:01.089423,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.01107955369486253,4,33,26.0,70.0,74.0,,COMPLETE
85,85,0.0012903350871056318,2023-11-07 17:29:35.777385,2023-11-07 17:29:36.895814,0 days 00:00:01.118429,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,,0.014850095764409564,4,4,31.0,79.0,58.0,,COMPLETE
86,86,0.0014009980950504541,2023-11-07 17:29:36.896855,2023-11-07 17:29:37.640034,0 days 00:00:00.743179,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,,0.0035400468716243914,3,10,41.0,41.0,,,COMPLETE
87,87,0.002251539845019579,2023-11-07 17:29:37.640742,2023-11-07 17:29:38.623465,0 days 00:00:00.982723,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,0.005421313914416886,5,12,55.0,30.0,48.0,18.0,COMPLETE
88,88,0.012144811451435089,2023-11-07 17:29:38.624222,2023-11-07 17:29:39.299220,0 days 00:00:00.674998,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,,0.0029755500364096205,4,22,21.0,37.0,16.0,,COMPLETE
89,89,0.0015808718744665384,2023-11-07 17:29:39.300018,2023-11-07 17:29:39.971138,0 days 00:00:00.671120,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.020372240226375335,4,36,23.0,6.0,29.0,,COMPLETE
90,90,0.041106801480054855,2023-11-07 17:29:39.971845,2023-11-07 17:29:40.794869,0 days 00:00:00.823024,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,0.0088482924840178,5,25,13.0,21.0,56.0,1.0,COMPLETE
91,91,0.001110563869588077,2023-11-07 17:29:40.795578,2023-11-07 17:29:41.616294,0 days 00:00:00.820716,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.008144041320557398,4,46,52.0,36.0,19.0,,COMPLETE
92,92,0.0011155131505802274,2023-11-07 17:29:41.617084,2023-11-07 17:29:42.455136,0 days 00:00:00.838052,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.012656655352378955,4,45,52.0,46.0,18.0,,COMPLETE
93,93,0.001482306164689362,2023-11-07 17:29:42.455863,2023-11-07 17:29:43.281814,0 days 00:00:00.825951,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.005491254189303645,4,51,44.0,47.0,18.0,,COMPLETE
94,94,0.000952134549152106,2023-11-07 17:29:43.282575,2023-11-07 17:29:44.160583,0 days 00:00:00.878008,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.012642505187115776,4,45,53.0,36.0,22.0,,COMPLETE
95,95,0.0010956487385556102,2023-11-07 17:29:44.161300,2023-11-07 17:29:45.027090,0 days 00:00:00.865790,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.013010858752767198,4,46,52.0,50.0,24.0,,COMPLETE
96,96,0.0011160623980686069,2023-11-07 17:29:45.027833,2023-11-07 17:29:45.877594,0 days 00:00:00.849761,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.008459511936420605,4,43,48.0,36.0,26.0,,COMPLETE
97,97,0.0014403656823560596,2023-11-07 17:29:45.878310,2023-11-07 17:29:46.802231,0 days 00:00:00.923921,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.016170806141925592,4,50,53.0,52.0,22.0,,COMPLETE
98,98,0.001604598481208086,2023-11-07 17:29:46.803007,2023-11-07 17:29:47.542733,0 days 00:00:00.739726,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,,0.012399168926832417,3,47,56.0,39.0,,,COMPLETE
99,99,0.0011663951445370913,2023-11-07 17:29:47.543450,2023-11-07 17:29:48.458307,0 days 00:00:00.914857,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.010288973496090936,4,52,66.0,64.0,4.0,,COMPLETE
