,number,value,datetime_start,datetime_complete,duration,params_activation_l0,params_activation_l1,params_activation_l2,params_activation_l3,params_activation_l4,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,state
18,18,0.041106805205345154,2023-11-07 17:28:35.968009,2023-11-07 17:28:37.292115,0 days 00:00:01.324106,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.09903364968020319,5,79,83.0,20.0,29.0,3.0,COMPLETE
19,19,0.0012855809181928635,2023-11-07 17:28:37.293048,2023-11-07 17:28:38.411809,0 days 00:00:01.118761,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.021709985551439562,4,61,37.0,42.0,81.0,,COMPLETE
20,20,0.0013377401046454906,2023-11-07 17:28:38.413096,2023-11-07 17:28:39.945072,0 days 00:00:01.531976,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,0.00475038212614889,5,45,78.0,70.0,68.0,46.0,COMPLETE
21,21,0.008128396235406399,2023-11-07 17:28:39.945818,2023-11-07 17:28:40.812742,0 days 00:00:00.866924,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.03149281089158224,4,50,55.0,41.0,37.0,,COMPLETE
22,22,0.0012319883098825812,2023-11-07 17:28:40.813397,2023-11-07 17:28:41.615056,0 days 00:00:00.801659,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,,0.021555602766114363,4,58,62.0,15.0,24.0,,COMPLETE
23,23,0.0013593054609373212,2023-11-07 17:28:41.615751,2023-11-07 17:28:42.779343,0 days 00:00:01.163592,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Tanh'>,0.009369103145312961,5,45,44.0,45.0,65.0,43.0,COMPLETE
24,24,0.041106827557086945,2023-11-07 17:28:42.780471,2023-11-07 17:28:43.915781,0 days 00:00:01.135310,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.Tanh'>,,0.04347095847864959,4,81,76.0,31.0,53.0,,COMPLETE
25,25,0.0011395137989893556,2023-11-07 17:28:43.916873,2023-11-07 17:28:44.594860,0 days 00:00:00.677987,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,,0.004719479653181472,4,19,57.0,10.0,20.0,,COMPLETE
26,26,0.0012018096167594194,2023-11-07 17:28:44.595507,2023-11-07 17:28:45.565349,0 days 00:00:00.969842,<class 'torch.nn.modules.activation.Sigmoid'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,0.005342495616306158,5,19,46.0,11.0,17.0,85.0,COMPLETE
27,27,0.0011266812216490507,2023-11-07 17:28:45.566170,2023-11-07 17:28:46.281641,0 days 00:00:00.715471,<class 'torch.nn.modules.activation.Tanh'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.ReLU'>,<class 'torch.nn.modules.activation.Sigmoid'>,0.0039022456324798054,5,9,24.0,27.0,15.0,25.0,COMPLETE
